Config,Hit Ratio,Miss Ratio
16-blk1-assoc1-LRU,0.33,0.67
16-blk1-assoc1-FIFO,0.33,0.67
16-blk1-assoc1-Random,0.33,0.67
32-blk1-assoc1-LRU,0.46,0.54
32-blk1-assoc1-FIFO,0.46,0.54
32-blk1-assoc1-Random,0.46,0.54
16-blk1-assoc2-LRU,0.31,0.69
16-blk1-assoc2-FIFO,0.29,0.70
16-blk1-assoc2-Random,0.31,0.69
32-blk1-assoc2-LRU,0.51,0.49
32-blk1-assoc2-FIFO,0.47,0.53
32-blk1-assoc2-Random,0.49,0.51
16-blk1-assoc4-LRU,0.31,0.69
16-blk1-assoc4-FIFO,0.29,0.71
16-blk1-assoc4-Random,0.27,0.73
32-blk1-assoc4-LRU,0.51,0.49
32-blk1-assoc4-FIFO,0.47,0.53
32-blk1-assoc4-Random,0.46,0.55
64-blk1-assoc1-LRU,0.59,0.41
64-blk1-assoc1-FIFO,0.59,0.41
64-blk1-assoc1-Random,0.59,0.41
